"","File","syllable","type","min.freq","max.freq","freq.range","duration","location","species","cluster8","1","2","cutree(cluster, 8)"
"51","200612_013_2",2,"A",2243,2601,358,0.049622921,"A","grey",1,340.437119837369,438.183588269217,1
"52","200612_013_2",3,"B",1481,3088,1607,0.203453976,"A","grey",7,-739.164303941829,-662.849920058795,3
"53","200612_013_2",4,"A",2124,2315,191,0.054585213,"A","grey",1,235.943695484465,774.229900410764,1
"54","200612_013_2",5,"B",1480,2047,567,0.198491684,"A","grey",6,-556.147042911878,797.214008502253,6
"55","200612_013_2",6,"E",1439,2965,1526,0.171199077,"A","grey",3,-772.138569052634,-513.294919323338,3
"56","200612_013_2",7,"E",1402,2880,1478,0.166236785,"A","grey",3,-805.322975262553,-414.31615792164,3
"57","200612_013_2",8,"L",1683,2885,1202,0.230746582,"A","grey",3,-439.885870448316,-267.286503629727,3
"58","200612_014_5",1,"A",2364,2845,481,0.042179483,"A","grey",1,454.974399318756,162.163278650934,1
"59","200612_014_5",2,"A",2324,2688,364,0.054585213,"A","grey",1,430.627496583932,360.519594349841,1
"60","200612_014_5",3,"B",1521,3243,1722,0.218340852,"A","grey",7,-714.463279420897,-858.400066016354,3
"61","200612_014_5",4,"A",1963,2441,478,0.044660629,"A","grey",6,3.74816568122428,509.180405108094,2
"62","200612_014_5",5,"B",1362,3040,1678,0.210897414,"A","grey",7,-885.798337453856,-660.737985847103,3
"63","200612_014_5",6,"E",1480,3006,1526,0.168717931,"A","grey",3,-725.948907802631,-548.345100381322,3
"64","200612_014_5",7,"L",1603,2969,1366,0.104677584,"A","grey",3,-559.050100798479,-429.001941086515,3
"65","200612_014_5",8,"M",1242,3366,2124,0.10868857,"A","grey",7,-1099.95696262615,-1183.92827100612,7
"66","200612_014_5",9,"B",1482,3041,1559,0.183604807,"A","grey",3,-729.538779761125,-596.356691628517,3
"67","200612_014_6",1,"A",2284,2565,281,0.052104067,"A","grey",1,400.260507373194,511.170999753917,1
"68","200612_014_6",2,"A",2284,2645,361,0.052104067,"A","grey",1,386.095596761394,398.924150075451,1
"69","200612_014_6",3,"B",1443,3206,1763,0.223303144,"A","grey",7,-809.595810203497,-849.245744233222,3
"70","200612_014_6",4,"A",1923,2364,441,0.052104067,"A","grey",6,-34.7636474873658,595.289871401375,2
"71","200612_014_6",5,"B",1400,3125,1725,0.210897414,"A","grey",7,-851.310292581766,-759.168543823137,3
"72","200612_014_6",6,"E",1402,2845,1443,0.178642515,"A","grey",3,-799.125827314974,-365.208161869408,3
"73","200612_014_6",7,"L",1723,2885,1162,0.094102768,"A","grey",3,-387.740326180502,-245.358370003744,3
"74","200612_014_6",8,"M",1161,3289,2128,0.10868857,"A","grey",7,-1191.91795337722,-1120.29513356939,7
"75","200612_014_6",9,"B",1639,3047,1408,0.188567099,"A","grey",3,-525.92990622586,-518.707310633776,3
"76","200612_014_6",10,"A",2164,2365,201,0.033374409,"A","grey",1,279.236166478474,726.003746640926,1
"77","200612_014_6",11,"B",1442,2963,1521,0.186085953,"A","grey",3,-767.873531369034,-508.844139441418,3
"78","200612_017_9",1,"A",2645,2965,320,0.034736045,"A","grey",4,800.04944771002,147.838090486211,1
"79","200612_017_9",2,"H",1602,2404,802,0.059547505,"A","grey",2,-460.314056467628,363.193234096182,2
"80","200612_017_9",3,"I",1923,3008,1085,0.129019594,"A","grey",5,-148.791180671883,-308.297272739271,3
"81","200612_017_9",4,"E",1404,2923,1519,0.178642515,"A","grey",3,-810.329338193211,-473.552434000263,3
"82","200612_017_9",5,"G",2579,2968,389,0.142252373,"A","grey",4,713.478119751772,107.447419625342,1
"83","200612_017_9",6,"H",1640,2406,766,0.051277018,"A","grey",2,-411.129916539072,381.218783116286,2
"84","200612_017_9",7,"E",1522,2885,1363,0.15713925,"A","grey",3,-649.771663753204,-355.547207187386,3
"85","200612_017_10",1,"A",2644,2925,281,0.043006531,"A","grey",4,805.828264235061,203.413311717888,1
"86","200612_017_10",2,"H",1603,2325,722,0.049622921,"A","grey",2,-445.022568398272,474.585201852168,2
"87","200612_017_10",3,"I",1963,2964,1001,0.120749108,"A","grey",5,-88.8549401732731,-224.633378848399,5
"88","200612_017_10",4,"E",1441,2845,1404,0.158793347,"A","grey",3,-748.283925721578,-343.828237817894,3
"89","200612_017_10",5,"G",2489,3006,517,0.123535577,"A","grey",4,589.422324310532,4.79188330294938,1
"90","200612_017_10",6,"H",1485,2364,879,0.049622921,"A","grey",2,-605.757303449446,355.176890600611,2
"91","200612_017_10",7,"E",1490,2887,1397,0.15052286,"A","grey",3,-691.842217773438,-375.895878955951,3
"92","200612_018_5",1,"A",2725,2887,162,0.036390142,"A","grey",1,918.151314227974,301.135021057738,1
"93","200612_018_5",2,"H",1644,2366,722,0.061201602,"A","grey",2,-398.8329076527,439.53502002114,2
"94","200612_018_5",3,"I",1883,2969,1086,0.133981886,"A","grey",5,-194.031326292062,-275.505059906842,3
"95","200612_018_5",4,"E",1560,2966,1406,0.150948419,"A","grey",3,-614.575373128414,-448.365422339111,3
"96","200612_018_5",5,"G",2565,3127,562,0.127365497,"A","grey",4,667.07442166703,-123.318037431638,1
"97","200612_018_5",6,"H",1682,2404,722,0.05623931,"A","grey",2,-356.022977618144,407.049486504043,2
"98","200612_018_5",7,"E",1402,2888,1486,0.149550765,"A","grey",3,-806.739465725083,-425.54084197205,3
"99","200612_018_6",1,"A",2565,3006,441,0.036390142,"A","grey",4,688.498852231333,46.4553277090812,1
"100","200612_018_6",1,"H",1641,2404,763,0.0628557,"A","grey",2,-409.472155705055,384.573156874449,2
"101","200612_018_6",1,"I",1959,2885,926,0.114132718,"A","grey",5,-80.0816446432813,-115.982427038428,5
"102","200612_018_6",1,"E",1440,2845,1405,0.150161525,"A","grey",3,-749.587563896026,-344.376440496121,3
"103","200612_018_6",1,"G",2566,3087,521,0.118091087,"A","grey",4,675.460515789807,-66.6464089296516,1
"104","200612_018_6",1,"H",1563,2325,762,0.057082045,"A","grey",2,-497.168108031283,452.657075329063,2
"105","200612_018_6",1,"E",1481,2884,1403,0.15478604,"A","grey",3,-703.043780135662,-376.62045070283,3
"106","200612_019_3",1,"G",2645,3441,796,0.127365497,"A","grey",4,715.768226246508,-520.030670193646,4
"107","200612_019_3",2,"E",1442,3007,1565,0.145560568,"A","grey",3,-775.664230751581,-570.579904536392,3
"108","200612_019_4",1,"H",1723,2164,441,0.039698337,"A","grey",6,-260.079067339765,766.266365714711,6
"109","200612_019_4",2,"E",1521,2929,1408,0.15735605,"A","grey",3,-658.866003081607,-417.831177675287,3
"110","200612_019_4",3,"G",2725,3086,361,0.102554037,"A","grey",4,882.916096707335,21.9209788447073,4
"111","200612_019_4",4,"E",1482,2968,1486,0.152505667,"A","grey",3,-716.613297712104,-493.931439587014,3
"112","200612_021_4",1,"A",2525,2963,438,0.036390142,"A","grey",4,643.966952319778,84.8598832982717,1
"113","200612_021_4",2,"E",1564,3082,1518,0.151494728,"A","grey",3,-629.899939598585,-608.930541791625,3
"114","200612_021_4",3,"G",2761,3166,405,0.114132718,"A","grey",4,915.68217110898,-70.5905579686951,4
"115","200612_021_4",4,"E",1524,2927,1403,0.15713925,"A","grey",3,-654.60096485613,-413.380396962932,3
"116","200612_021_4",5,"E",1522,2945,1423,0.153831055,"A","grey",3,-660.395346593365,-439.732344264343,3
"117","200612_021_9",1,"A",2484,3003,519,0.024153016,"A","grey",4,583.435319603383,6.26012986605604,1
"118","200612_021_9",2,"E",1405,3086,1681,0.132841586,"A","grey",7,-837.886703437403,-701.707184549068,3
"119","200612_021_9",3,"G",2645,3127,482,0.102650316,"A","grey",4,771.365501284539,-79.4617838467694,4
"120","200612_021_9",4,"E",1400,3005,1605,0.144918094,"A","grey",3,-830.062924296902,-590.79826567774,3
"121","200612_021_9",5,"G",2725,3206,481,0.096612063,"A","grey",4,861.668731002817,-146.449295346287,4
"122","200612_021_9",6,"H",1603,2244,641,0.043006531,"A","grey",6,-430.680596166446,588.235137515399,2
"123","200612_021_9",7,"E",1443,2926,1483,0.141361613,"A","grey",3,-760.018620122351,-456.381765853253,3
"124","200613_023_2",1,"A",1763,1965,202,0.049622921,"B","black",6,-172.698313183583,1067.4085298572,6
"125","200613_023_2",2,"J",2003,2317,314,0.116613864,"B","black",6,77.8493139134205,705.091144266542,6
"126","200613_023_2",3,"L",2525,3243,718,0.089321258,"B","black",4,594.38976327945,-308.004093486635,5
"127","200613_023_2",4,"C",1602,2444,842,0.181123661,"B","black",2,-467.396516135359,307.069802572405,2
"128","200613_023_2",5,"D",2003,2528,525,0.096764696,"B","black",1,40.4893628869328,409.040079330943,2
"129","200613_023_2",6,"J",1482,2324,842,0.161274493,"B","black",2,-602.585767601714,409.655699842503,2
"130","200613_023_2",7,"L",2244,3151,907,0.081877819,"B","black",5,244.356996708157,-332.96530189086,5
"131","200613_023_2",8,"C",1595,2806,1211,0.183604807,"B","black",3,-540.618206131715,-204.684614428843,3
